symbol,date,close
AAPL,"January 22, 2008",22.23428535
AAPL,"January 23, 2008",19.86714363
AAPL,"January 24, 2008",19.37142944
AAPL,"January 25, 2008",18.5728569
AAPL,"January 28, 2008",18.5728569
AAPL,"January 29, 2008",18.79142952
AAPL,"January 30, 2008",18.88285637
AAPL,"January 31, 2008",19.33714294
AAPL,"February 1, 2008",19.1071434
AAPL,"February 4, 2008",18.80714226
AAPL,"February 5, 2008",18.47999954
AAPL,"February 6, 2008",17.4285717
AAPL,"February 7, 2008",17.31999969
AAPL,"February 8, 2008",17.92571449
AAPL,"February 11, 2008",18.49285698
AAPL,"February 12, 2008",17.83714294
AAPL,"February 13, 2008",18.48571396
AAPL,"February 14, 2008",18.20857048
AAPL,"February 15, 2008",17.80428505
AAPL,"February 19, 2008",17.45428658
AAPL,"February 20, 2008",17.68857193
AAPL,"February 21, 2008",17.36285782
AAPL,"February 22, 2008",17.06571388
AAPL,"February 25, 2008",17.1057148
AAPL,"February 26, 2008",17.02142906
AAPL,"February 27, 2008",17.56571388
AAPL,"February 28, 2008",18.55857086
AAPL,"February 29, 2008",17.86000061
AAPL,"March 3, 2008",17.38999939
AAPL,"March 4, 2008",17.80285645
AAPL,"March 5, 2008",17.7842865
AAPL,"March 6, 2008",17.27571487
AAPL,"March 7, 2008",17.4642849
AAPL,"March 10, 2008",17.09857178
AAPL,"March 11, 2008",18.19285774
AAPL,"March 12, 2008",18.00428581
AAPL,"March 13, 2008",18.27714348
AAPL,"March 14, 2008",18.08714294
AAPL,"March 17, 2008",18.10428619
AAPL,"March 18, 2008",18.97428513
AAPL,"March 19, 2008",18.52428627
AAPL,"March 20, 2008",19.03857231
AAPL,"March 24, 2008",19.93285751
AAPL,"March 25, 2008",20.13999939
AAPL,"March 26, 2008",20.72285652
AAPL,"March 27, 2008",20.0357151
AAPL,"March 28, 2008",20.43000031
AAPL,"March 31, 2008",20.5
AAPL,"April 1, 2008",21.36142921
AAPL,"April 2, 2008",21.06999969
